id	text	cat
1506	The smothering snow-clouds rolled away ; 	b
1507	The barren mountain-side lies bare, 	b
1508	He would not give one moorland wild 	b
1509	As shines earth's sun in summer noon 	b
1510	And whiter brows than yours may be, 	b
1511	Where city walls spread wide around 	b
1512	And lightning looks from orbs divine 	b
1513	About my pathway burn and shine. 	b
1514	But that pure light, changeless and strong, 	b
1515	That last dim beam that sets for thee, 	b
1516	Echoing to their bells. 	b
1517	My feeble faith still clings to Thee. 	b
1518	When we were wont to burst away 	b
1519	Remembrance never dies, 	b
1520	From hope, and peace, and power, and 	b
1521	Her former life's eventful day 	b
1522	Know nought akin to our despair ; 	b
1523	Without a voice to speak to you 	b
1524	For that mist may break when the sun is high, 	b
1525	For bygone griefs and dried-up tears. 	b
1526	In open day and cheerful sun, 	b
1527	Lord Lesley, let it free ; 	b
1528	Waiting the death that was to come. 	b
1529	On which it ought to wend. 	b
1530	Sleep brings no strength to me, 	b
1531	Must claim from Justice lasting rest ; 	b
1532	Youth's warm affections gave, 	b
1533	To meet its early tomb ? 	b
1534	Mad though that anguish be, 	b
1535	As warm as middle June. 	b
1536	And yet it seems a dreary moor, 	b
1537	Was heavier far than earth can be ; 	b
1538	A shelter from the sky. 	b
1539	And never Fejian devotee 	b
1540	My only wish is to forget 	b
1541	In endless sleep of death. 	b
1542	Fireless hearths, and lifeless homes ; 	b
1543	Had they but seen their idol then, 	b
1544	Strong I stand, and laugh to see 	b
1545	That leaf from its parent tree ; 	b
1546	Shut out from joy and liberty, 	b
1547	All the puny ways of men ; 	b
1548	The first to fight, the last to fall, 	b
1549	Then come again ; thou wilt not shrink 	b
1550	The glory of the festal day, 	b
1551	Ought for a moment to be mine : 	b
1552	Affrightened from that ceaseless roar. 	b
1553	Beneath its mighty glare : 	b
1554	Thing of Dust, with boundless pride, 	b
1555	Dare you ask me for a guide ? 	b
1556	Will hardly let her gleam, 	b
1557	Or any, but an exile's doom. 	b
1558	Windows through whose broken panes the night- 	b
1559	To free the world from tyrant's chain, 	b
1560	For which we fought and bled and died. 	b
1561	I saw her give th' unanswered kiss 	b
1562	Full soon divided him from me. 	b
1563	Where their bright glories shone at first. 	b
1564	To shelter 'neath a foreign heaven ; 	b
1565	Till far beyond earth's frenzied strife, 	b
1566	That should startle the nations that rest around. 	b
1567	What pleasant airs upon her face 	b
1568	Confused and strange and drear. 	b
1569	She sits and fondly seems to trace 	b
1570	And never more at early dawning 	b
1571	And I must see the final gloom 	b
1572	The accursed man shall be ; 	b
1573	Dear childhood's innocence forgive, 	b
1574	And my eye can wander through worlds of light. 	b
1575	Methinks their chime sounds faint and drear, 	b
1576	My lids closed down, yet through their veil 	b
1577	The glory of a summer sky. 	b
1578	And form my mood to Nature's mood. 	b
1579	The tiny ripples flame. 	b
1580	Went, and ne'er returned again ! 	b
1581	I cannot bear to go away. 	b
1582	May beam the blaze of July's sun, 	b
1583	To soothe your grief or calm your care ; 	b
1584	Nay, do not weep ; that bitter mourning 	b
1585	And man's remarks or sighs or scorn, 	b
1586	Full many a heart, that in the tomb, 	b
1587	For ever dark, for ever cold. 	b
1588	You '11 dry your tears and check your sighing, 	b
1589	Lie low and lone the silent dead ; 	b
1590	FALL, leaves, fall ; die, flowers, away ; 	b
1591	If I were quite alone, 	b
1592	One ripple in the lovely lake ; 	b
1593	Lost, cursed, degraded all for thee ! 	b
1594	There are bones whitening there in the 	b
1595	Fernando left his home and you, 	b
1596	And still I think you must remember 	b
1597	Marking my despondency. 	b
1598	Lit by the evening flame, 	b
1599	I longed to see his face again, 	b
1600	From his daylong dream at once he woke ; 	b
1601	Better that I my own fate mourning, 	b
1602	Except for you, my dearest queen ! 	b
1603	There lies a lone and lovely glade, 	b
1604	And there the hearts together nourished, 	b
1605	Since parted from thee I am left alone, 	b
1606	The afternoon in softened glory 	b
1607	In the old church beneath the stone, 	b
1608	And the broad park spread before me 	b
1609	And curse instead of pray. 	b
1610	And there I stood when he had left me, 	b
1611	With ashy cheek and tearless eye, 	b
1612	Watching the ship whose sail bereft me 	b
1613	In gathering gloom in every glade, 	b
1614	By the wild storm blasts roughly broke, 	b
1615	O may I never lose the peace 	b
1616	My soul still bounded o'er the billow, 	b
1617	The curtains waved, the wakened flies 	b
1618	The azure flowers where they were nursed, 	b
1619	One brief glimpse to thine eye, I 	b
1620	Its much-desired repose. 	b
1621	Of safe deliverance from the sea. 	b
1622	Yet, alas ! the sooner turning 	b
1623	And drowned my bloom of youth in tears. 	b
1624	And time at length brought power for coping 	b
1625	With thoughts I could not once endure. 	b
1626	MAY flowers are opening, 	b
1627	The place that saw our last farewell, 	b
1628	Yet their lives passed in gloomy woe, 	b
1629	In plundered churches piled with dead 	b
1630	Go out upon the breezy moor ; 	b
1631	AWAKE, awake ! how loud the stormy morning 	b
1632	Calls up to life the nation's resting round ; 	b
1633	What follows in Ula's garden sweet 	b
1634	And violet and wild woodrose 	b
1635	One whisper, one sweet dream in him, 	b
1636	' Twill only yield another sight 	b
1637	That while the world was lost to her 	b
1638	A beam of glory there, 	b
1639	It was cultured by another hand, 	b
1640	A traitor's perjury. 	b
1641	And her look of Majesty. 	b
1642	The sea-green standard lies in dust beneath. 	b
1643	To which my own was given ; 	b
1644	Soldiers, preserve that glory bright and free ; 	b
1645	It was just the time of eve, 	b
1646	Let me remember half the woes 	b
1647	Are but the shattered glass 	b
1648	Can still the spirit's storm ; 	b
1649	While thou canst speak with such a tone ! 	b
1650	But how can I live lonely here? 	b
1651	From turret, tower and wall. 	b
1652	And prone to every sin ; 	b
1653	And in the haze of glorious light 	b
1654	I have sat lonely all the day, 	b
1655	In the pure light of childhood's morn, 	b
1656	Where blackbird and the throstle dwell ; 	b
1657	Save that deep gong which tolled my 	b
1658	A thousand strains of Music swell. 	b
1659	For God alone doth know how blessed 	b
1660	And every listener swears it true ; 	b
1661	And tell me, why such blessed sleep 	b
1662	Unlike the bloom I like to see. 	b
1663	So full of soul, so deeply sweet ; 	b
1664	The grave must close those limbs around, 	b
1665	The moonbeam and the storm, 	b
1666	While the wind is whispering only, 	b
1667	Cheeks are pale and eyes are dim. 	b
1668	How can I break these iron chains, 	b
1669	Are the hours to come, the joyless hours, 	b
1670	With beams of such impartial blaze, 	b
1671	It chained the snow-swollen streams no more. 	b
1672	And they will reach it soon. 	b
1673	And then a sudden flash of flame, 	b
1674	And leave my human feelings 	b
1675	Into my heart and anxious eye, 	b
1676	Then his eyes began to weary, 	b
1677	Amid the howling storm of war? 	b
1678	care and tears and pain. 	b
1679	But coldly breaks November's day ; 	b
1680	But hate eternally. 1 	b
1681	Eldenna's waves are rolling red, 	b
1682	Shade of history, I condemn 	b
1683	If my spirit's eye can see, 	b
1684	And deeper green is on the hill. 	b
1685	I looked out to see her there, 	b
1686	They all are held in me ; 	b
1687	And all seem glad their voice to hear ; 	b
1688	Wisdom, scorned, knows no relenting ; 	b
1689	A tear might flow, ay, many a tear, 	b
1690	And there in those wild bowers 	b
1691	No whisper, not to me ; 	b
1692	I could not sleep through that wild siege, 	b
1693	I know that I have done thee wrong, 	b
1694	And mourned a love for ever flown. 	b
1695	Sank back again to childhood's day ; 	b
1696	Its cheering smile to see, 	b
1697	That sin was purified by woe. 	b
1698	Your worlds of solemn light, again, 	b
1699	To us, in unimagined bloom, 	b
1700	And she springs up in haste to greet 	b
1701	And thou art near thy prime? 	b
1702	It was a pleasant April day 	b
1703	So I knew that he was dying 	b
1704	Watching the drizzly mist descend, 	b
1705	Descend like rain upon the heath. 	b
1706	Its deadly mist o'er joys and cares. 	b
1707	Held by the mountain men. 	b
1708	Like bandit-knife was hung. 	b
1709	And what shall change that angel brow, 	b
1710	To-day, I will seek not the shadowy region ; 	b
1711	Laid on the grass I lapsed away, 	b
1712	Blend with a song of troubled times. 	b
1713	To seize the falling rein. 	b
1714	Thus thy first hour's course shall be : 	b
1715	With voice subdued and steady look, 	b
1716	Spring grass grows green and fair ; 	b
1717	Call Death yes Death he is mine own, 	b
1718	To live in every sweetest thought ; 	b
1719	And sweeter than a flute's reply 	b
1720	Where royal corpses lay. 	b
1721	And there was eastern incense burnt, 	b
1722	For sun, before they close, 	b
1723	In mercy launch one arrow more ; 	b
1724	With sacred halos round it shed ? 	b
1725	But death has stolen our company, 	b
1726	And words upon the breezes hung. 	b
1727	Its sufferings and its tears. 	b
1728	' Bless it ! My gracious God ! ' I cried. 	b
1729	Welcome at last, though once so drear. 	b
1730	Thus, at least, its mouldering corpse will nourish 	b
1731	Shall our feet forget the way ? 	b
1732	Vainly would man divine or tell. 	b
1733	STRONG I stand, though I have borne 	b
1734	Look how in sable gloom 	b
1735	A darker wave. 	b
1736	Glows o'er the graves of Elrington, 	b
1737	It was about the middle night 	b
1738	So their fond hearts were free, 	b
1739	The shallow wrecks of memories 	b
1740	Looks down on the descending sun ; 	b
1741	Thou art my intimate delight, 	b
1742	Deep secrets of His Providence 	b
1743	It pines in cold captivity, 	b
1744	One penance tender tears. 	b
1745	HINDER me by no delay ! 	b
1746	He dared not say me nay the hinges harshly turn. 	b
1747	Yonder they stand and watch the waves 	b
1748	What have I now? The star that brightly 	b
1749	Dry thine eyes, too ; 'tis vain to keep 	b
1750	HOW CLEAR SHE SHINES 	b
1751	Now seems as nothing in the single cloud 	b
1752	That laid my best affections low, 	b
1753	That thou wouldst call to mind. 	b
1754	And yet, a king, though Prudence well 	b
1755	My horse had strayed, I cannot say ; 	b
1756	Zamorna is this nobly done, 	b
1757	But could the day seem dark to me 	b
1758	Those tones were softer than the moan 	b
1759	Has passed from summer's heaven divine, 	b
1760	I ask for nothing further here 	b
1761	From the side of the wintry brae. 	b
1762	I should not be if that were gone 	b
1763	YES, holy be thy resting-place 	b
1764	THROUGH the hours of yesternight 	b
1765	She murmured with a sigh. 	b
1766	And nations round are fearing, 	b
1767	So humbly by her side ; 	b
1768	That set on fire my heart, but froze upon my 	b
1769	An icy glory caught mine eye, 	b
1770	O come away ! The Norman door 	b
1771	And my glad heart bound wilder still. 	b
1772	From his heart's fountain swell, 	b
1773	My hour of rest had fleeted by, 	b
1774	Toss up the window's velvet veil, 	b
1775	What is past can hurt no more ; 	b
1776	To sit within this Norman door, 	b
1777	No : that I feel can never be ; 	b
1778	* Angora's hills have heard their tread, 	b
1779	* Well, thou hast fought for many a year, 	b
1780	Like youth, to my maturer eyes, 	b
1781	She sees us, sister, now ; 	b
1782	And I have sat and watched the trees, 	b
1783	Their glory-haloed crown to wear. 	b
1784	And merry words to whispers die, 	b
1785	Whose forms have troubled me, 	b
1786	The woods and fields and golden flowers 	b
1787	That we must bind thee down and clench thy 	b
1788	Is welcome as a friend ; 	b
1789	Though earth and man were gone, 	b
1790	False and foolish mortal know, 	b
1791	I 've trod a dark and frightful way. 	b
1792	As kindly as the good. 	b
1793	The pure blue heaven with clouds of gold ; 	b
1794	Though not for fear, though not for shame. 	b
1795	Which shapeless figures on each piece 	b
1796	Those eyes shall make my only day, 	b
1797	As long as thou, the solemn night, 	b
1798	My outward sense is gone, my inward essence 	b
1799	And the crags where I wandered of old. 	b
1800	Joins the mad world in all its scorn. 	b
1801	Bore his soul from earth away. 	b
1802	Then why lament that those we love 	b
1803	And wild birds bursting from their songless nest, 	b
1804	But yet it was a glorious sun, 	b
1805	When, if my spirit's sky was full of flashes 	b
1806	What my soul bore, my soul alone 	b
1807	Have studied long their glance and feel 	b
1808	And all my prospect of relief 	b
1809	His heart is stirred through all its strings, 	b
1810	And then a wakening from above ; 	b
1811	As it tossed against the heaven, 	b
